DateKey,FullDate,Year,Month,Day
20260201,2026-02-01,2026.0,2,1
20260202,2026-02-02,2026.0,2,2
20260203,2026-02-03,2026.0,2,3
20260204,2026-02-04,2026.0,2,4
20260205,2026-02-05,2026.0,2,5
20260206,2026-02-06,2026.0,2,6
20260207,2026-02-07,2026.0,2,7
20260208,2026-02-08,2026.0,2,8
20260209,2026-02-09,2026.0,2,9
20260210,2026-02-10,2026.0,2,10
20260211,2026-02-11,2026.0,2,11
20260212,2026-02-12,2026.0,2,12
20260213,2026-02-13,2026.0,2,13
20260214,2026-02-14,2026.0,2,14
20260215,2026-02-15,2026.0,2,15
20260216,2026-02-16,2026.0,2,16
20260217,2026-02-17,2026.0,2,17
20260218,2026-02-18,2026.0,2,18
20260219,2026-02-19,2026.0,2,19
20260220,2026-02-20,2026.0,2,20
20260221,2026-02-21,2026.0,2,21
20260222,2026-02-22,2026.0,2,22
20260223,2026-02-23,2026.0,2,23
20260224,2026-02-24,2026.0,2,24
20260225,2026-02-25,2026.0,2,25
20260226,2026-02-26,2026.0,2,26
20260227,2026-02-27,2026.0,2,27
20260228,2026-02-28,2026.0,2,28
20260301,2026-03-01,2026.0,3,1
20260302,2026-03-02,2026.0,3,2
20260303,2026-03-03,2026.0,3,3
20260304,2026-03-04,2026.0,3,4
20260305,2026-03-05,2026.0,3,5
20260306,2026-03-06,2026.0,3,6
20260307,2026-03-07,2026.0,3,7
20260308,2026-03-08,2026.0,3,8
20260309,2026-03-09,2026.0,3,9
20260310,2026-03-10,2026.0,3,10
20260311,2026-03-11,2026.0,3,11
20260312,2026-03-12,2026.0,3,12
20260313,2026-03-13,2026.0,3,13
20260314,2026-03-14,2026.0,3,14
20260315,2026-03-15,2026.0,3,15
20260316,2026-03-16,2026.0,3,16
20260317,2026-03-17,2026.0,3,17
20260318,2026-03-18,2026.0,3,18
20260319,2026-03-19,2026.0,3,19
20260320,2026-03-20,2026.0,3,20
20260321,2026-03-21,2026.0,3,21
20260322,2026-03-22,2026.0,3,22
20260323,2026-03-23,2026.0,3,23
20260324,2026-03-24,2026.0,3,24
20260325,2026-03-25,2026.0,3,25
20260326,2026-03-26,2026.0,3,26
20260327,2026-03-27,2026.0,3,27
20260328,2026-03-28,2026.0,3,28
20260329,2026-03-29,2026.0,3,29
20260330,2026-03-30,2026.0,3,30
20260331,2026-03-31,2026.0,3,31
20260401,2026-04-01,2026.0,4,1
20260402,2026-04-02,2026.0,4,2
20260403,2026-04-03,2026.0,4,3
20260404,2026-04-04,2026.0,4,4
20260405,2026-04-05,2026.0,4,5
20260406,2026-04-06,2026.0,4,6
20260407,2026-04-07,2026.0,4,7
20260408,2026-04-08,2026.0,4,8
20260409,2026-04-09,2026.0,4,9
20260410,2026-04-10,,4,10
20260411,2026-04-11,2026.0,4,11
20260412,2026-04-12,2026.0,4,12
20260413,2026-04-13,2026.0,4,13
20260414,2026-04-14,2026.0,4,14
20260415,2026-04-15,2026.0,4,15
20260416,2026-04-16,2026.0,4,16
20260417,2026-04-17,2026.0,4,17
20260418,2026-04-18,2026.0,4,18
20260419,2026-04-19,2026.0,4,19
20260420,2026-04-20,2026.0,4,20
20260421,2026-04-21,2026.0,4,21
20260422,2026-04-22,2026.0,4,22
20260423,2026-04-23,2026.0,4,23
20260424,2026-04-24,2026.0,4,24
20260425,2026-04-25,2026.0,4,25
20260426,2026-04-26,2026.0,4,26
20260427,2026-04-27,2026.0,4,27
20260428,2026-04-28,2026.0,4,28
20260429,2026-04-29,2026.0,4,29
20260430,2026-04-30,2026.0,4,30
20260501,2026-05-01,2026.0,5,1
